ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
T29586021,Playback for endcard videos,,C2699961,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55",Analytics (DQI) - P0s,Android TV,R109734,Playback Schema,0,,Passed,Miguel Mota,5/23/2023 6:06 AM,Events,1.0.0.84
T29586022,"Playback - Pause, resume",,C2699963,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55, GQA-1704 GQA-1928",Analytics (DQI) - P0s,Android TV,R109734,Playback Schema,0,,Passed,Miguel Mota,5/23/2023 6:03 AM,Events,1.0.0.84
T29586023,"Playback - bufferstart,bufferstop,resume",,C2699964,GCX-23395 - [Analytics] No playback.bufferStart and playback.bufferStop events,GCX-23395,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8820, GQA-3581, PLAY-72, PLAY-1973, PLAY-102, PLAY-60, PLAY-55",Analytics (DQI) - P0s,Android TV,R109734,Playback Schema,0,,Failed,Miguel Mota,5/23/2023 6:53 AM,Events,
T29586019,Videoplayer - userinitiated,,C2699959,GCX-24941 - [Comcast/Web/CDEV][Analytics] No videoplayer.exitbeforestart event when exiting the player before start playing,GCX-24941,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"PLAY-32, PLAY-72, PLAY-1973, PLAY-102",Analytics (DQI) - P0s,Android TV,R109734,Video Player schema,0,,Failed,Miguel Mota,5/23/2023 4:24 AM,Events,
T29586016,session.action - First start,,C2699954,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android TV,R109734,Session Schema,0,,Passed,Miguel Mota,5/23/2023 5:15 AM,Events,1.0.0.84
T29586017,session.action - Cold start,,C2699955,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android TV,R109734,Session Schema,0,,Passed,Miguel Mota,5/23/2023 6:28 AM,Events,1.0.0.84
T29586018,session..action - Resume start,,C2699956,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8182, GQA-2685",Analytics (DQI) - P0s,Android TV,R109734,Session Schema,0,,Passed,Miguel Mota,5/23/2023 5:17 AM,Events,1.0.0.84
T29586013,purchaseInitiate,,C2699948,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android TV,R109734,Purchase Schema,0,,Passed,Miguel Mota,5/23/2023 7:41 AM,Events,1.0.0.84
T29586014,purchaseReceipt,,C2699949,"Google Chromecast Sabrina
PROD
Build nr 1.0.0.84",,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
HWA
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android TV,R109734,Purchase Schema,0,,Passed,Miguel Mota,5/23/2023 7:47 AM,Events,1.0.0.84
T29586015,purchaseRestore,,C2699953,No Restart/Restore button on Settings/Account.,,,,,Analytics - DQI - P0s,R109732,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-8489, GQA-3547",Analytics (DQI) - P0s,Android TV,R109734,Purchase Schema,0,,Remove from Run,Miguel Mota,5/23/2023 8:05 AM,Events,
